0,0
1,0
2,1
3,0
4,6
5,12
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,2
42,0
43,0
44,0
45,0
46,0
47,0
48,8
49,0
50,0
51,1
52,4
53,0
54,0
55,2
56,2
57,3
58,0
59,0
60,0
61,5
62,0
63,21
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,4
81,0
82,0
83,2
84,3
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,15
94,4
95,20
96,20
97,5
98,8
99,14
100,17
101,6
102,33
103,12
104,33
105,7
106,15
107,6
108,1
109,11
110,1
111,11
112,6
113,13
114,9
115,1
116,2
117,3
118,6
119,15
120,17
121,21
122,9
123,8
124,0
125,0
126,22
127,16
128,14
129,19
130,192
131,222
132,192
133,601
134,426
135,428
136,781
137,626
138,98
139,96
140,23
141,126
142,236
143,237
144,605
145,396
146,667
147,51
148,97
149,296
150,105
151,151
152,10
153,0
154,16
155,29
156,87
157,16
158,147
159,100
160,512
161,28
162,4
163,6
164,6
165,17
166,80
167,6
168,27
169,64
170,130
171,109
172,10
173,0
174,0
175,42
176,32
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,308
190,14
191,38
192,11
193,6
194,9
195,56
196,59
197,0
198,0
199,356
200,0
201,110
202,12
203,167
204,330
205,310
206,39
207,135
208,105
209,112
210,52
211,63
212,40
213,48
214,24
215,197
216,112
217,147
218,105
219,2
220,0
221,13
222,7
223,3
224,12
225,2
226,15
227,16
228,3
229,3
230,6
231,6
232,63
233,7
234,3
235,3
236,23
237,20
238,14
239,7
240,35
241,17
242,14
243,10
244,27
245,27
246,0
247,0
248,7
249,9
250,0
251,1
252,5
253,12
254,11
255,9
256,2
257,0
258,14
259,0
260,2
261,3
262,0
263,0
264,0
265,2
266,3
267,3
268,1
269,0
270,0
271,0
272,0
273,1
274,0
275,2
276,0
277,1
278,0
279,1
280,10
281,0
282,0
283,2
284,1
285,0
286,0
287,0
288,1
289,1
290,0
291,2
292,1
293,1
294,45
295,4
296,9
297,12
298,5
299,0
300,2
301,2
302,20
303,15
304,2
305,5
306,2
307,0
308,0
309,0
310,62
311,0
312,1
313,5
314,1
315,7
316,1
317,1
318,0
319,0
320,7
321,2
322,21
323,3
324,3
325,6
326,0
327,0
328,16
329,0
330,11
331,2
332,16
333,5
334,6
335,28
336,8
337,1
338,0
339,0
340,0
341,1
342,52
343,3
344,25
345,0
346,5
347,0
348,85
349,6
350,2
351,0
352,0
353,6
354,2
355,0
356,0
357,0
358,18
359,22
360,0
361,14
362,0
363,9
364,1
365,4
366,0
367,0
368,4
369,22
370,2
371,0
372,13
373,0
374,1
375,6
376,0
377,12
378,1
379,0
380,25
381,32
382,17
383,0
384,6
385,0
386,36
387,53
388,3
389,0
390,0
391,12
392,3
393,0
394,96
395,7
396,1
397,8
398,87
399,0
400,6
401,19
402,0
403,8
404,18
405,3
406,0
407,1
408,16
409,59
410,0
411,9
412,0
413,34
414,6
415,1
416,0
417,5
418,0
419,30
420,23
421,46
422,0
423,0
424,15
425,5
426,112
427,20
428,0
429,40
430,7
431,34
432,46
433,14
434,3
435,13
436,40
437,13
438,0
439,8
440,2
441,39
442,6
443,7
444,1
445,24
446,12
447,0
448,11
449,1
450,34
451,74
452,30
453,10
454,13
455,31
456,71
457,51
458,41
459,18
460,0
461,0
462,34
463,23
464,0
465,0
466,4
467,7
468,0
469,11
470,0
471,9
472,96
473,69
474,0
475,0
476,207
477,1
478,88
479,0
480,45
481,0
482,20
483,128
484,0
485,11
486,5
487,39
488,14
489,16
490,70
491,36
492,24
493,7
494,0
495,9
496,1
497,36
498,15
499,6
500,3
501,13
502,0
503,2
504,6
505,10
506,21
507,1
508,0
509,0
510,0
511,0
512,28
513,0
514,5
515,0
516,15
517,0
518,16
519,17
520,2
521,23
522,46
523,1
524,58
525,33
526,0
527,36
528,10
529,62
530,0
531,1
532,0
533,5
